date,classType,instructor,timeSlot,capacity,booked,attended,cancellations,waitlist,price
2025-12-01,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2025-12-01,pilates,Sam Rivera,afterwork,20,19,18,1,0,22
2025-12-01,cycle,Alex Chen,afterwork,22,17,16,1,0,28
2025-12-01,yoga,Morgan Taylor,afterwork,20,13,12,1,0,22
2025-12-05,barre,Jordan Lee,morning,22,21,20,1,0,24
2025-12-05,yoga,Sam Rivera,morning,18,15,14,1,0,22
2025-12-05,pilates,Alex Chen,morning,20,14,13,1,0,22
2025-12-10,barre,Jordan Lee,weekend,25,24,23,1,0,24
2025-12-10,yoga,Sam Rivera,weekend,25,20,19,1,0,22
2025-12-10,barre,Alex Chen,weekend,25,17,16,1,0,24
2025-12-10,pilates,Morgan Taylor,weekend,25,14,13,1,0,22
2025-12-15,pilates,Jordan Lee,evening,20,18,17,1,0,22
2025-12-15,cycle,Sam Rivera,evening,20,16,15,1,0,28
2025-12-15,yoga,Morgan Taylor,evening,20,11,10,1,0,22
2025-12-19,yoga,Jordan Lee,afternoon,20,16,15,1,0,20
2025-12-19,pilates,Casey Kim,afternoon,18,7,6,1,0,20
2025-12-19,barre,Alex Chen,afternoon,22,12,11,1,0,22
2025-12-22,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2025-12-22,barre,Sam Rivera,afterwork,20,18,17,1,0,24
2025-12-22,cycle,Alex Chen,afterwork,22,17,16,1,0,28
2025-12-22,yoga,Casey Kim,afterwork,18,10,9,1,0,22
2025-12-26,barre,Jordan Lee,morning,22,21,20,1,0,24
2025-12-26,pilates,Sam Rivera,morning,18,15,14,1,0,22
2025-12-26,yoga,Casey Kim,morning,20,10,9,1,0,22
2025-12-30,yoga,Jordan Lee,weekend,25,24,23,1,0,22
2025-12-30,barre,Sam Rivera,weekend,25,20,19,1,0,24
2025-12-30,cycle,Morgan Taylor,weekend,25,14,13,1,0,28
2025-12-30,yoga,Casey Kim,weekend,25,12,11,1,0,22
2026-01-02,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2026-01-02,pilates,Sam Rivera,afterwork,20,19,18,1,0,22
2026-01-02,cycle,Alex Chen,afterwork,22,18,17,1,0,28
2026-01-07,yoga,Jordan Lee,morning,22,21,20,1,0,22
2026-01-07,barre,Sam Rivera,morning,18,16,15,1,0,24
2026-01-07,yoga,Alex Chen,morning,20,15,14,1,0,22
2026-01-07,pilates,Morgan Taylor,morning,18,12,11,1,0,22
2026-01-12,barre,Jordan Lee,weekend,25,24,23,1,0,24
2026-01-12,yoga,Sam Rivera,weekend,25,21,20,1,0,22
2026-01-12,cycle,Alex Chen,weekend,22,18,17,1,0,28
2026-01-16,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2026-01-16,pilates,Sam Rivera,afterwork,20,19,18,1,0,22
2026-01-16,cycle,Alex Chen,afterwork,22,18,17,1,0,28
2026-01-16,yoga,Morgan Taylor,afterwork,20,14,13,1,0,22
2026-01-21,pilates,Jordan Lee,evening,20,18,17,1,0,22
2026-01-21,barre,Sam Rivera,evening,20,16,15,1,0,24
2026-01-21,yoga,Casey Kim,evening,20,9,8,1,0,22
2026-01-26,yoga,Jordan Lee,morning,22,21,20,1,0,22
2026-01-26,cycle,Sam Rivera,morning,20,16,15,1,0,28
2026-01-26,pilates,Alex Chen,morning,20,14,13,1,0,22
2026-01-26,barre,Morgan Taylor,morning,18,11,10,1,0,24
2026-01-30,barre,Jordan Lee,weekend,25,24,23,1,0,24
2026-01-30,yoga,Sam Rivera,weekend,25,21,20,1,0,22
2026-01-30,yoga,Casey Kim,weekend,25,12,11,1,0,22
2026-02-02,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2026-02-02,pilates,Sam Rivera,afterwork,20,19,18,1,0,22
2026-02-02,cycle,Alex Chen,afterwork,22,18,17,1,0,28
2026-02-02,barre,Morgan Taylor,afterwork,20,14,13,1,0,24
2026-02-06,pilates,Alex Chen,evening,20,13,12,1,0,22
2026-02-06,barre,Morgan Taylor,evening,20,11,10,1,0,24
2026-02-06,cycle,Casey Kim,evening,20,9,8,1,0,28
2026-02-10,yoga,Jordan Lee,morning,22,21,20,1,0,22
2026-02-10,barre,Sam Rivera,morning,18,16,15,1,0,24
2026-02-10,yoga,Alex Chen,morning,20,15,14,1,0,22
2026-02-10,pilates,Morgan Taylor,morning,18,12,11,1,0,22
2026-02-13,pilates,Jordan Lee,afternoon,20,16,15,1,0,20
2026-02-13,yoga,Sam Rivera,afternoon,22,15,14,1,0,19
2026-02-13,barre,Alex Chen,afternoon,22,12,11,1,0,22
2026-02-17,yoga,Jordan Lee,afterwork,20,20,19,1,1,22
2026-02-17,cycle,Sam Rivera,afterwork,20,19,18,1,0,28
2026-02-17,pilates,Alex Chen,afterwork,22,18,17,1,0,22
2026-02-17,yoga,Casey Kim,afterwork,18,10,9,1,0,22
2026-02-20,barre,Jordan Lee,morning,22,22,21,1,1,24
2026-02-20,yoga,Sam Rivera,morning,18,16,15,1,0,22
2026-02-20,pilates,Casey Kim,morning,20,10,9,1,0,22
2026-02-24,barre,Jordan Lee,weekend,25,25,24,1,1,24
2026-02-24,yoga,Sam Rivera,weekend,25,21,20,1,0,22
2026-02-24,cycle,Alex Chen,weekend,22,18,17,1,0,28
2026-02-24,yoga,Morgan Taylor,weekend,25,14,13,1,0,22
